date,prediction
2020-06-28,33.618172129989
2020-06-29,34.451118410336896
2020-06-30,34.79526700197934
2020-07-01,34.933641838424755
2020-07-02,35.099282912227594
2020-07-03,35.534962131289426
2020-07-04,35.16438969578099
2020-07-05,34.966608012156144
2020-07-06,34.86104809827909
2020-07-07,34.804708728457236
2020-07-08,34.77463931597532
2020-07-09,34.758590688348384
2020-07-10,34.7500252250603
2020-07-11,34.745453671464254
2020-07-12,34.74301374479845
2020-07-13,34.74171150869657
2020-07-14,34.7410164800759
2020-07-15,34.740645529844336
2020-07-16,34.74044754652364
2020-07-17,34.740341878992155
2020-07-18,34.74028548218473
2020-07-19,34.74025538211669
2020-07-20,34.7402393171276
2020-07-21,34.740230742931885
2020-07-22,34.74022616671762
2020-07-23,34.74022372430346
2020-07-24,34.74022242073974
2020-07-25,34.74022172500254
2020-07-26,34.74022135367413
2020-07-27,34.74022115548897
2020-07-28,34.74022104971371
2020-07-29,34.740220993259406
2020-07-30,34.74022096312865
