date,prediction
2020-06-29,38.20355341334499
2020-06-30,38.129820674428444
2020-07-01,38.208070038048774
2020-07-02,37.69855250266503
2020-07-03,37.992515743908825
2020-07-04,37.64310203123178
2020-07-05,38.04245786788385
2020-07-06,38.07279230288629
2020-07-07,38.20105616894115
2020-07-08,38.213319600026445
2020-07-09,38.213319600026445
2020-07-10,38.213319600026445
2020-07-11,38.213319600026445
2020-07-12,38.213319600026445
2020-07-13,38.213319600026445
2020-07-14,38.213319600026445
2020-07-15,38.213319600026445
2020-07-16,38.213319600026445
2020-07-17,38.213319600026445
2020-07-18,38.213319600026445
2020-07-19,38.213319600026445
2020-07-20,38.213319600026445
2020-07-21,38.213319600026445
2020-07-22,38.213319600026445
2020-07-23,38.213319600026445
2020-07-24,38.213319600026445
2020-07-25,38.213319600026445
2020-07-26,38.213319600026445
2020-07-27,38.213319600026445
2020-07-28,38.213319600026445
2020-07-29,38.213319600026445
2020-07-30,38.213319600026445
