date,prediction
2020-06-30,40.90368751431675
2020-07-01,40.204455094366054
2020-07-02,41.53964939536371
2020-07-03,41.34349250056977
2020-07-04,40.567894015742375
2020-07-05,40.893981011997994
2020-07-06,40.183573247818266
2020-07-07,39.76854853517243
2020-07-08,39.52608847097867
2020-07-09,39.38444176672806
2020-07-10,39.30169086549499
2020-07-11,39.253347265189475
2020-07-12,39.22510462788071
2020-07-13,39.208605100391786
2020-07-14,39.19896597199235
2020-07-15,39.193334732166655
2020-07-16,39.190044926215286
2020-07-17,39.188123000754345
2020-07-18,39.18700019973446
2020-07-19,39.186344252271425
2020-07-20,39.185961043611435
2020-07-21,39.18573717068659
2020-07-22,39.18560638270681
2020-07-23,39.185529975541144
2020-07-24,39.18548533799131
2020-07-25,39.18545926045215
2020-07-26,39.1854440257887
2020-07-27,39.18543512560188
2020-07-28,39.1854299260564
2020-07-29,39.18542688844902
2020-07-30,39.185425113859566
