date,prediction
2020-06-28,46.63807879605766
2020-06-29,47.422544389245125
2020-06-30,47.78224435452126
2020-07-01,46.36451208957175
2020-07-02,46.54057009454454
2020-07-03,44.361243086937
2020-07-04,44.774933108084944
2020-07-05,44.824690083996906
2020-07-06,45.425781336720824
2020-07-07,46.245022024024536
2020-07-08,46.90198462227225
2020-07-09,47.33646648452044
2020-07-10,47.87812758445969
2020-07-11,47.620968227188584
2020-07-12,47.6596237357927
2020-07-13,47.037030727577964
2020-07-14,46.41326785840427
2020-07-15,46.45383467757753
2020-07-16,46.1276767979325
2020-07-17,46.48136109764006
2020-07-18,46.510289007493384
2020-07-19,46.4704707911336
2020-07-20,46.66741029014277
2020-07-21,46.79593202230397
2020-07-22,46.562460431777794
2020-07-23,46.62772553254542
2020-07-24,46.23593814875189
2020-07-25,46.299444535537724
2020-07-26,46.31197260188007
2020-07-27,46.38674772098961
2020-07-28,46.50447143127892
2020-07-29,46.636908176770135
2020-07-30,46.699670066884394
