,Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region
3149,2020-02-07,Spain,1,0,0,1,0,0,0,Europe
3185,2020-02-08,Argentina,0,0,0,0,0,0,0,Americas
3214,2020-02-08,Chile,0,0,0,0,0,0,0,Americas
3230,2020-02-08,Ecuador,0,0,0,0,0,0,0,Americas
3290,2020-02-08,Mexico,0,0,0,0,0,0,0,Americas
3336,2020-02-08,Spain,1,0,0,1,0,0,0,Europe
3372,2020-02-09,Argentina,0,0,0,0,0,0,0,Americas
3401,2020-02-09,Chile,0,0,0,0,0,0,0,Americas
3417,2020-02-09,Ecuador,0,0,0,0,0,0,0,Americas
3477,2020-02-09,Mexico,0,0,0,0,0,0,0,Americas
3523,2020-02-09,Spain,2,0,0,2,1,0,0,Europe
3559,2020-02-10,Argentina,0,0,0,0,0,0,0,Americas
3588,2020-02-10,Chile,0,0,0,0,0,0,0,Americas
3604,2020-02-10,Ecuador,0,0,0,0,0,0,0,Americas
3664,2020-02-10,Mexico,0,0,0,0,0,0,0,Americas
3710,2020-02-10,Spain,2,0,0,2,0,0,0,Europe
3746,2020-02-11,Argentina,0,0,0,0,0,0,0,Americas
3775,2020-02-11,Chile,0,0,0,0,0,0,0,Americas
3791,2020-02-11,Ecuador,0,0,0,0,0,0,0,Americas
3851,2020-02-11,Mexico,0,0,0,0,0,0,0,Americas
3897,2020-02-11,Spain,2,0,0,2,0,0,0,Europe
3933,2020-02-12,Argentina,0,0,0,0,0,0,0,Americas
3962,2020-02-12,Chile,0,0,0,0,0,0,0,Americas
3978,2020-02-12,Ecuador,0,0,0,0,0,0,0,Americas
4038,2020-02-12,Mexico,0,0,0,0,0,0,0,Americas
4084,2020-02-12,Spain,2,0,0,2,0,0,0,Europe
4120,2020-02-13,Argentina,0,0,0,0,0,0,0,Americas
4149,2020-02-13,Chile,0,0,0,0,0,0,0,Americas
4165,2020-02-13,Ecuador,0,0,0,0,0,0,0,Americas
4225,2020-02-13,Mexico,0,0,0,0,0,0,0,Americas
4271,2020-02-13,Spain,2,0,0,2,0,0,0,Europe
